Age is an issue of mind over matter. If you don't mind, it doesn't matter.;Mark Twain;age
Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.;Henry Ford;age
Wrinkles should merely indicate where smiles have been.;Mark Twain;age
True terror is to wake up one morning and discover that your high school class is running the country.;Kurt Vonnegut;age
A diplomat is a man who always remembers a woman's birthday but never remembers her age.;Robert Frost;age
As I grow older, I pay less attention to what men say. I just watch what they do.;Andrew Carnegie;age
How incessant and great are the ills with which a prolonged old age is replete.;C. S. Lewis;age
Old age, believe me, is a good and pleasant thing. It is true you are gently shouldered off the stage, but then you are given such a comfortable front stall as spectator.;Confucius;age
Old age has deformities enough of its own. It should never add to them the deformity of vice.;Eleanor Roosevelt;age
Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.;Samuel Ullman;age
An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.;Agatha Christie;age
All diseases run into one, old age.;Ralph Waldo Emerson;age
Bashfulness is an ornament to youth, but a reproach to old age.;Aristotle;age
Like everyone else who makes the mistake of getting older, I begin each day with coffee and obituaries.;Bill Cosby;age
Age appears to be best in four things old wood best to burn, old wine to drink, old friends to trust, and old authors to read.;Francis Bacon;age
None are so old as those who have outlived enthusiasm.;Henry David Thoreau;age
Every man over forty is a scoundrel.;George Bernard Shaw;age
Forty is the old age of youth fifty the youth of old age.;Victor Hugo;age
You can't help getting older, but you don't have to get old.;George Burns;age
Alas, after a certain age every man is responsible for his face.;Albert Camus;age
Youth is when you're allowed to stay up late on New Year's Eve. Middle age is when you're forced to.;Bill Vaughan;age
Old age is like everything else. To make a success of it, you've got to start young.;Theodore Roosevelt;age
A comfortable old age is the reward of a well-spent youth. Instead of its bringing sad and melancholy prospects of decay, it would give us hopes of eternal youth in a better world.;Maurice Chevalier;age
A man growing old becomes a child again.;Sophocles;age
I will never be an old man. To me, old age is always 15 years older than I am.;Francis Bacon;age
Age considers youth ventures.;Rabindranath Tagore;age
What most persons consider as virtue, after the age of 40 is simply a loss of energy.;Voltaire;age
Age is a very high price to pay for maturity.;Tom Stoppard;age
Old age is no place for sissies.;Bette Davis;age
I don't feel old. I don't feel anything till noon. That's when it's time for my nap.;Bob Hope;age
As I approve of a youth that has something of the old man in him, so I am no less pleased with an old man that has something of the youth. He that follows this rule may be old in body, but can never be so in mind.;Marcus Tullius Cicero;age
I don't believe one grows older. I think that what happens early on in life is that at a certain age one stands still and stagnates.;T. S. Eliot;age
Advice in old age is foolish for what can be more absurd than to increase our provisions for the road the nearer we approach to our journey's end.;Marcus Tullius Cicero;age
When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age.;Victor Hugo;age
It takes a long time to become young.;Pablo Picasso;age
After thirty, a body has a mind of its own.;Bette Midler;age
There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.;Sophia Loren;age
Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.;Don Marquis;age
Old minds are like old horses you must exercise them if you wish to keep them in working order.;John Adams;age
Forty is the old age of youth, fifty is the youth of old age.;Hosea Ballou;age
Youth is the gift of nature, but age is a work of art.;Stanislaw Lec;age
Preparation for old age should begin not later than one's teens. A life which is empty of purpose until 65 will not suddenly become filled on retirement.;Dwight L. Moody;age
There is always some specific moment when we become aware that our youth is gone but, years after, we know it was much later.;Mignon McLaughlin;age
Growing old is no more than a bad habit which a busy person has no time to form.;Andre Maurois;age
As long as any adult thinks that he, like the parents and teachers of old, can become introspective, invoking his own youth to understand the youth before him, he is lost.;Margaret Mead;age
Old age is fifteen years older than I am.;Oliver Wendell Holmes;age
Aging is not lost youth but a new stage of opportunity and strength.;Betty Friedan;age
The great secret that all old people share is that you really haven't changed in seventy or eighty years. Your body changes, but you don't change at all. And that, of course, causes great confusion.;Doris Lessing;age
The trick is growing up without growing old.;Casey Stengel;age
Old age comes on suddenly, and not gradually as is thought.;Emily Dickinson;age
I think your whole life shows in your face and you should be proud of that.;Lauren Bacall;age
I'm happy to report that my inner child is still ageless.;James Broughton;age
Youth is the best time to be rich, and the best time to be poor.;Euripides;age
It is sad to grow old but nice to ripen.;Brigitte Bardot;age
One of the many things nobody ever tells you about middle age is that it's such a nice change from being young.;William Feather;age
After you're older, two things are possibly more important than any others: health and money.;Helen Gurley Brown;age
You end up as you deserve. In old age you must put up with the face, the friends, the health, and the children you have earned.;Judith Viorst;age
I'm not interested in age. People who tell me their age are silly. You're as old as you feel.;Henri Frederic Amiel;age
Inflation is when you pay fifteen dollars for the ten-dollar haircut you used to get for five dollars when you had hair.;Sam Ewing;age
My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.;Warren Beatty;age
As you age naturally, your family shows more and more on your face. If you deny that, you deny your heritage.;Frances Conroy;age
Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.;Golda Meir;age
In youth the days are short and the years are long. In old age the years are short and day's long.;Pope Paul VI;age
The aging process has you firmly in its grasp if you never get the urge to throw a snowball.;Doug Larson;age
Age is how we determine how valuable you are.;Jane Elliot;age
Middle age is when your age starts to show around your middle.;Bob Hope;age
Aging seems to be the only available way to live a long life.;Kitty O'Neill Collins;age
I think when the full horror of being fifty hits you, you should stay home and have a good cry.;Josh Billings;age
To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent that is to triumph over old age.;Amos Bronson Alcott;age
If you're old, don't try to change yourself, change your environment.;B. F. Skinner;age
Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.;Louis Kronenberger;age
I want to get old gracefully. I want to have good posture, I want to be healthy and be an example to my children.;Sting;age
You know you're getting old when all the names in your black book have M. D. after them.;Harrison Ford;age
What makes old age so sad is not that our joys but our hopes cease.;Jean Paul;age
Old age is a shipwreck.;Charles de Gaulle;age
While one finds company in himself and his pursuits, he cannot feel old, no matter what his years may be.;Amos Bronson Alcott;age
To resist the frigidity of old age, one must combine the body, the mind, and the heart. And to keep these in parallel vigor one must exercise, study, and love.;Alan Bleasdale;age
Old age is the most unexpected of all the things that can happen to a man.;James Thurber;age
No one can avoid aging, but aging productively is something else.;Katharine Graham;age
If you haven't turned rebel by twenty you've got no heart if you haven't turned establishment by thirty you've got no brains!;Kevin Spacey;age
Oh rage! Oh despair! Oh age, my enemy!;Pierre Corneille;age
I don't want to fight aging I want to take good care of myself, but plastic surgery and all that? I'm not interested.;Christine Lahti;age
Middle age is the time when a man is always thinking that in a week or two he will feel as good as ever.;Don Marquis;age
We should so provide for old age that it may have no urgent wants of this world to absorb it from meditation on the next. It is awful to see the lean hands of dotage making a coffer of the grave.;Pearl S. Buck;age
Middle age is the awkward period when Father Time starts catching up with Mother Nature.;Harold Coffin;age
Middle age is youth without levity, and age without decay.;Doris Day;age
No man is ever old enough to know better.;Holbrook Jackson;age
The denunciation of the young is a necessary part of the hygiene of older people, and greatly assists the circulation of the blood.;Logan P. Smith;age
In youth we run into difficulties. In old age difficulties run into us.;Beverly Sills;age
We pay when old for the excesses of youth.;J. B. Priestley;age
The answer to old age is to keep one's mind busy and to go on with one's life as if it were interminable. I always admired Chekhov for building a new house when he was dying of tuberculosis.;Leon Edel;age
We've put more effort into helping folks reach old age than into helping them enjoy it.;Frank A. Clark;age
The real sadness of fifty is not that you change so much but that you change so little.;Max Lerner;age
I'm not afraid of aging.;Shelley Duvall;age
He has a profound respect for old age. Especially when it's bottled.;Gene Fowler;age
Whatever poet, orator or sage may say of it, old age is still old age.;Sinclair Lewis;age
To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.;Thomas Bailey Aldrich;age
In old age we are like a batch of letters that someone has sent. We are no longer in the past, we have arrived.;Knut Hamsun;age
There's no such thing as old age, there is only sorrow.;Fay Weldon;age
Those who love deeply never grow old they may die of old age, but they die young.;Dorothy Canfield Fisher;age
I get all fired up about aging in America.;Willard Scott;age
The really frightening thing about middle age is the knowledge that you'll grow out of it.;Doris Day;age
There is an anti-aging possibility, but it has to come from within.;Susan Anton;age
The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.;Colleen McCullough;age
When a noble life has prepared old age, it is not decline that it reveals, but the first days of immortality.;Muriel Spark;age
The whole business of marshaling one's energies becomes more and more important as one grows older.;Hume Cronyn;age
The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified.;Bob Wells;age
Old age adds to the respect due to virtue, but it takes nothing from the contempt inspired by vice it whitens only the hair.;Ira Gershwin;age
As men get older, the toys get more expensive.;Marvin Davis;age
I find that a man is as old as his work. If his work keeps him from moving forward, he will look forward with the work.;William Ernest Hocking;age
Common sense is the collection of prejudices acquired by age eighteen.;Albert Einstein;age
Reading, after a certain age, diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.;Albert Einstein;age
Confusion of goals and perfection of means seems, in my opinion, to characterize our age.;Albert Einstein;age
Perfection of means and confusion of ends seem to characterize our age.;Albert Einstein;age
The age of a woman doesn't mean a thing. The best tunes are played on the oldest fiddles.;Ralph Waldo Emerson;age
Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen.;Mark Twain;age
A stockbroker urged me to buy a stock that would triple its value every year. I told him, 'At my age, I don't even buy green bananas.';Claude Pepper;age
When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory.;Friedrich Nietzsche;age
Probably the happiest period in life most frequently is in middle age, when the eager passions of youth are cooled, and the infirmities of age not yet begun as we see that the shadows, which are at morning and evening so large, almost entirely disappear at midday.;Eleanor Roosevelt;age
Age is whatever you think it is. You are as old as you think you are.;Muhammad Ali;age
As human beings, our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves.;Mahatma Gandhi;age
A man loves the meat in his youth that he cannot endure in his age.;William Shakespeare;age
In every country and every age, the priest had been hostile to Liberty.;Thomas Jefferson;age
The heresy of one age becomes the orthodoxy of the next.;Helen Keller;age
The golden age is before us, not behind us.;William Shakespeare;age
Every formula of every religion has in this age of reason, to submit to the acid test of reason and universal assent.;Mahatma Gandhi;age
Thomas Jefferson once said, 'We should never judge a president by his age, only by his works.' And ever since he told me that, I stopped worrying.;Ronald Reagan;age
No woman should ever be quite accurate about her age. It looks so calculating.;Oscar Wilde;age
At twenty years of age the will reigns at thirty, the wit and at forty, the judgment.;Benjamin Franklin;age
Age does not protect you from love. But love, to some extent, protects you from age.;Anais Nin;age
Information is the oxygen of the modern age. It seeps through the walls topped by barbed wire, it wafts across the electrified borders.;Ronald Reagan;age
Old age is just a record of one's whole life.;Muhammad Ali;age
We prefer world law in the age of self-determination to world war in the age of mass extermination.;John F. Kennedy;age
Each age, it is found, must write its own books or rather, each generation for the next succeeding.;Ralph Waldo Emerson;age
Education is the best provision for old age.;Aristotle;age
The secret of staying young is to live honestly, eat slowly, and lie about your age.;Lucille Ball;age
Sometimes I think it would be easier to avoid old age, to die young, but then you'd never complete your life, would you? You'd never wholly know you.;Marilyn Monroe;age
I don't think of myself as a poor deprived ghetto girl who made good. I think of myself as somebody who from an early age knew I was responsible for myself, and I had to make good.;Oprah Winfrey;age
The kids are old enough now - I just want to let them be kids. I don't want to comment on them too much. They're at an age where I just want to let them be kids.;Eminem;age
He who is of calm and happy nature will hardly feel the pressure of age, but to him who is of an opposite disposition youth and age are equally a burden.;Plato;age
Why should society feel responsible only for the education of children, and not for the education of all adults of every age?;Erich Fromm;age
I've got volumes on how not to behave. I've got more information now than a guy should have at my age.;Charlie Sheen;age
I'm at the age where food has taken the place of sex in my life. In fact, I've just had a mirror put over my kitchen table.;Rodney Dangerfield;age
Age is something that doesn't matter, unless you are a cheese.;Luis Bunuel;age
Hesitation increases in relation to risk in equal proportion to age.;Ernest Hemingway;age
Books were my pass to personal freedom. I learned to read at age three, and soon discovered there was a whole world to conquer that went beyond our farm in Mississippi.;Oprah Winfrey;age
In our age there is no such thing as 'keeping out of politics.' All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia.;George Orwell;age
I must confess, I was born at a very early age.;Groucho Marx;age
The secret of genius is to carry the spirit of the child into old age, which mean never losing your enthusiasm.;Aldous Huxley;age